chunk_id,type,source_file,section_title,created_at,author,preview
1,note,meeting_notes_collection.md,TYNGO Meeting Notes Collection,,,# TYNGO Meeting Notes Collection
2,note,meeting_notes_collection.md,"Weekly Development Team Meeting - Jul 15, 2025",2025-07-15,,"## Weekly Development Team Meeting - Jul 15, 2025"
3,note,meeting_notes_collection.md,meeting_notes_collection.md,,"** Sarah Chen (Tech Lead), Mike Rodriguez (Backend Dev), Lisa Wang (Frontend Dev), James Thompson (QA Lead), David Kim (Product Manager)","**Date:** July 15, 2025   **Time:** 9:00 AM - 10:30 AM PST  "
4,note,meeting_notes_collection.md,Agenda Items,,,### Agenda Items
5,note,meeting_notes_collection.md,1. Sprint 23 Progress Review,,,#### 1. Sprint 23 Progress Review - **Table-Side Ordering Fe
6,note,meeting_notes_collection.md,2. Stripe Integration Status,,,#### 2. Stripe Integration Status - Live pricing table integ
7,note,meeting_notes_collection.md,3. Blockers & Issues,,,#### 3. Blockers & Issues - Oracle Simphony API rate limitin
8,note,meeting_notes_collection.md,4. Next Sprint Planning,,,#### 4. Next Sprint Planning - Focus on Oracle integration o
9,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Action Items:** - Mike: Optimize Oracle API calls by Jul 1
10,note,meeting_notes_collection.md,meeting_notes_collection.md,,,---
11,note,meeting_notes_collection.md,"Refinement Call - Table-Side Ordering Feature - Sprint 23 - Jul 10, 2025",2025-07-10,,## Refinement Call - Table-Side Ordering Feature - Sprint 23
12,note,meeting_notes_collection.md,meeting_notes_collection.md,,** Product Team + Development Team,"**Date:** July 10, 2025   **Time:** 2:00 PM - 3:30 PM PST   "
13,note,meeting_notes_collection.md,Feature Overview,,,### Feature Overview **Epic:** Table-Side Ordering System   
14,note,meeting_notes_collection.md,Acceptance Criteria Refinement,,,### Acceptance Criteria Refinement
15,note,meeting_notes_collection.md,"User Story: ""As a restaurant customer, I want to place orders directly from my table using a mobile device""",,,"#### User Story: ""As a restaurant customer, I want to place "
16,note,meeting_notes_collection.md,meeting_notes_collection.md,,,**Refined Acceptance Criteria:** 1. Customer scans QR code a
